t_s,ref_rpm,rpm_hil,u_hil,rpm_sim,u_sim
0.0,1500.0,0.0,2.0917,0.0,2.0916666666666663
0.01,1500.0,70.94525024056179,3.3442,70.94411965698163,3.3442328676897253
0.02,1500.0,189.89435767250518,3.8836,189.89425387758183,3.8836173402979686
0.03,1500.0,312.8797753453383,4.3676,312.880626385228,4.367536947990868
0.04,1500.0,429.25790443303015,4.9416,429.25660864967335,4.941616419114561
0.05,1500.0,542.8672311198861,5.5527,542.8661309114002,5.552667486148637
0.06,1500.0,656.5629864894627,6.1626,656.5612030780378,6.162577996464219
0.07,1500.0,770.7023531701442,6.7666,770.6999025305698,6.766572701572364
0.08,1500.0,884.9774313276607,7.3687,884.9743919036434,7.3687552392169415
0.09,1500.0,999.2286450916871,7.9712,999.227901629185,7.9712177787035365
0.1,1500.0,1113.4534314501718,8.1305,1113.454049170276,8.130445563193733
0.11,1500.0,1212.629552266858,8.0715,1212.6283810227617,8.07150895626845
0.12,1500.0,1288.1867261538791,7.9532,1288.1855600444485,7.953210767540099
0.13,1500.0,1341.2621282438752,7.9439,1341.2616851181585,7.943959618867438
0.14,1500.0,1380.1830862691422,7.9501,1380.184886983986,7.950073273437092
0.15,1500.0,1409.9719727039762,7.9492,1409.9730795219655,7.9491765223032065
0.16,1500.0,1432.742343194321,7.9416,1432.7421218946313,7.941557356509682
0.17,1500.0,1449.8571046169372,7.933,1449.855232408826,7.93299311829749
0.18,1500.0,1462.5478404538965,7.9273,1462.5457169001186,7.927381714430941
0.19,1500.0,1471.9476570149475,7.9247,1471.9487231979315,7.924677690527494
0.2,1500.0,1478.9712994502922,7.923,1478.9722263188212,7.922995054336592
0.21,1500.0,1484.2455391947494,7.9214,1484.2458617524037,7.921425208199965
0.22,1500.0,1488.1982624511338,7.9202,1488.1993056960348,7.920127021227756
0.23,1500.0,1491.1571551714203,7.9192,1491.1557437632555,7.9192666333597765
0.24,1500.0,1493.3685392742927,7.9187,1493.3689498302256,7.91868879916014
0.25,1500.0,1495.0285453259098,7.9182,1495.0291711732527,7.918223039471169
0.26,1500.0,1496.2730721652695,7.9179,1496.2742284025421,7.917849235100507
0.27,1500.0,1497.2073761973109,7.9176,1497.2067802622942,7.917587843733643
0.28,1500.0,1497.9070238772595,7.9174,1497.905620940931,7.917400282778094
0.29,1500.0,1498.4310012570081,7.9172,1498.4297974700276,7.917253148723339
0.3,1500.0,1498.8219575331273,7.9171,1498.8228409584674,7.917140610983856
0.31,1500.0,1499.1147961134343,7.9171,1499.1174148532086,7.917058822769012
0.32,1500.0,1499.3372006398388,7.917,1499.3382497240038,7.916998185808664
0.33,1500.0,1499.503543487907,7.917,1499.503854129891,7.916951819318902
0.34,1500.0,1499.6294455297973,7.9169,1499.6280188562473,7.916916914062032
0.35000000000000003,1500.0,1499.7221292589384,7.9169,1499.7210992457838,7.916891086972115
0.36,1500.0,1499.7918073165313,7.9168,1499.7908869180985,7.916871754392481
0.37,1500.0,1499.84157527269,7.9169,1499.8432154016184,7.916857141757295
0.38,1500.0,1499.8818874665772,7.9169,1499.8824490501072,7.916846186937679
0.39,1500.0,1499.913699037696,7.9168,1499.9118635438185,7.91683801615363
0.4,1500.0,1499.9346139985282,7.9168,1499.9339177727777,7.916831886967321
0.41000000000000003,1500.0,1499.9495121563161,7.9168,1499.9504538220299,7.916827277255086
0.42,1500.0,1499.9608583883448,7.9169,1499.9628518956074,7.916823823534849
0.43,1500.0,1499.97291010784,7.9168,1499.9721474096386,7.916821238992424
0.44,1500.0,1499.9797842527028,7.9168,1499.9791169535447,7.9168192999917135
0.45,1500.0,1499.983990004377,7.9168,1499.9843425569495,7.916817844600953
0.46,1500.0,1499.9871753190835,7.9168,1499.9882605294142,7.91681675396912
0.47000000000000003,1500.0,1499.9896060730116,7.9168,1499.9911980884615,7.916815936771817
0.48,1500.0,1499.9914614534655,7.9169,1499.9934005910484,7.916815323825956
0.49,1500.0,1499.9962694159765,7.9168,1499.9950519659833,7.916814864097883
0.5,1500.0,1499.9976144149355,7.9168,1499.9962901130627,7.916814519506365
0.51,1500.0,1499.997599769254,7.9168,1499.9972184369033,7.91681426119152
0.52,1500.0,1499.9975636541797,7.9168,1499.9979144676684,7.916814067476999
0.53,1500.0,1499.9975354903872,7.9168,1499.9984363309914,7.916813922222003
0.54,1500.0,1499.997513978661,7.9168,1499.9988276078607,7.916813813328762
0.55,1500.0,1499.9974975584153,7.9169,1499.9991209754053,7.91681373168764
0.56,1500.0,1500.000876775573,7.9168,1499.9993409337803,7.916813670470298
0.5700000000000001,1500.0,1500.001131213046,7.9168,1499.9995058519833,7.916813624570492
0.58,1500.0,1500.0002841416556,7.9168,1499.999629502628,7.916813590158158
0.59,1500.0,1499.999612635945,7.9168,1499.9997222121697,7.916813564356989
0.6,1500.0,1499.9990994784064,7.9168,1499.9997917230276,7.916813545011343
0.61,1500.0,1499.9987077708959,7.9168,1499.999843840179,7.916813530506625
0.62,1500.0,1499.9984087801668,7.9168,1499.9998829160504,7.916813519631552
0.63,1500.0,1499.998180560499,7.9169,1499.999912213965,7.916813511477803
0.64,1500.0,1500.001398111141,7.9168,1499.9999341806658,7.916813505364269
0.65,1500.0,1500.0015291485447,7.9168,1499.999950650638,7.916813500780548
0.66,1500.0,1500.0005878858685,7.9168,1499.9999629993274,7.916813497343868
0.67,1500.0,1499.9998444839364,7.9168,1499.9999722580055,7.9168134947671165
0.68,1500.0,1499.9992764480044,7.9168,1499.9999791998866,7.916813492835081
0.6900000000000001,1500.0,1499.9988428518116,7.9168,1499.999984404698,7.91681349138658
0.7000000000000001,1500.0,1499.9985118874456,7.9168,1499.999988307111,7.91681349030049
0.71,1500.0,1499.9982592622982,7.9169,1499.999991233024,7.916813489486138
0.72,1500.0,1500.0014581842336,7.9168,1499.9999934267828,7.916813488875653
0.73,1500.0,1500.0015750023429,7.9168,1499.9999950715985,7.916813488417903
0.74,1500.0,1500.0006228860786,7.9168,1499.9999963048347,7.91681348807461
0.75,1500.0,1499.9998711996009,7.9168,1499.9999972294743,7.916813487817329
0.76,1500.0,1499.9992968400734,7.9168,1499.999997922743,7.916813487624386
0.77,1500.0,1499.9988584170792,7.9168,1499.9999984425347,7.916813487479735
0.78,1500.0,1499.9985237684143,7.9168,1499.9999988322593,7.91681348737127
0.79,1500.0,1499.9982683310425,7.9169,1499.999999124464,7.916813487289915
0.8,1500.0,1500.001465106407,7.9168,1499.9999993435483,7.9168134872289775
0.81,1500.0,1500.001580286039,7.9168,1499.999999507812,7.916813487183271
0.8200000000000001,1500.0,1500.0006269191242,7.9168,1499.9999996309718,7.916813487149005
0.8300000000000001,1500.0,1499.9998742780253,7.9168,1499.9999997233142,7.916813487123291
0.84,1500.0,1499.9992991898353,7.9168,1499.9999997925495,7.916813487104016
0.85,1500.0,1499.9988602106541,7.9168,1499.9999998444598,7.91681348708957
0.86,1500.0,1499.9985251374505,7.9169,1499.9999998833814,7.916813487078713
0.87,1500.0,1500.001661126768,7.9168,1499.9999999125625,7.916813487070603
0.88,1500.0,1500.0017299084022,7.9168,1499.9999999344411,7.916813487064544
0.89,1500.0,1500.0007411258914,7.9168,1499.9999999508473,7.916813487059934
0.9,1500.0,1499.9999614520646,7.9168,1499.999999963146,7.916813487056539
0.91,1500.0,1499.9993657297882,7.9168,1499.999999972367,7.916813487054001
0.92,1500.0,1499.998911000607,7.9168,1499.9999999792822,7.9168134870520595
0.93,1500.0,1499.9985639054287,7.9168,1499.9999999844679,7.916813487050567
0.9400000000000001,1500.0,1499.9982989676314,7.9169,1499.9999999883541,7.916813487049497
0.9500000000000001,1500.0,1500.001488491319,7.9168,1499.9999999912673,7.91681348704872
0.96,1500.0,1500.001598135744,7.9168,1499.9999999934525,7.916813487048109
0.97,1500.0,1500.0006405438053,7.9168,1499.999999995091,7.91681348704765
0.98,1500.0,1499.9998846777462,7.9168,1499.9999999963193,7.916813487047311
0.99,1500.0,1499.9993071279441,7.9168,1499.9999999972408,7.916813487047038
1.0,1500.0,1499.9988662698133,7.9168,1499.9999999979304,7.9168134870468725
1.01,1500.0,1499.9985297624066,7.9169,1499.9999999984495,7.916813487046688
1.02,1500.0,1500.0016646569982,7.9168,1499.9999999988372,7.91681348704659
1.03,1500.0,1500.0017326030272,7.9168,1499.9999999991273,7.916813487046537
1.04,1500.0,1500.0007431826984,7.9168,1499.9999999993456,7.916813487046479
1.05,1500.0,1499.9999630220257,7.9168,1499.9999999995102,7.916813487046404
1.06,1500.0,1499.999366928142,7.9168,1499.9999999996319,7.9168134870464
1.07,1500.0,1499.9989119153108,7.9168,1499.9999999997235,7.91681348704639
1.08,1500.0,1499.9985646036216,7.9168,1499.9999999997942,7.916813487046321
1.09,1500.0,1499.9982995005605,7.9169,1499.9999999998483,7.91681348704622
1.1,1500.0,1500.001488898104,7.9168,1499.9999999998784,7.916813487046471
